iteration,train_loss,val_loss,train_acc,val_acc
0,tensor(9.9876),tensor(9.9888),tensor(2.9907e-05),tensor(3.7231e-05)
100,tensor(6.6759),tensor(6.6718),tensor(0.1903),tensor(0.1905)
200,tensor(5.0476),tensor(5.0994),tensor(0.2400),tensor(0.2391)
300,tensor(3.8656),tensor(3.8603),tensor(0.2577),tensor(0.2604)
400,tensor(3.2624),tensor(3.2774),tensor(0.2621),tensor(0.2641)
500,tensor(2.9976),tensor(3.0144),tensor(0.2737),tensor(0.2706)
600,tensor(2.8583),tensor(2.8592),tensor(0.2716),tensor(0.2719)
700,tensor(2.7858),tensor(2.8061),tensor(0.2740),tensor(0.2702)
800,tensor(2.7283),tensor(2.7365),tensor(0.2754),tensor(0.2724)
900,tensor(2.6946),tensor(2.6974),tensor(0.2732),tensor(0.2735)
1000,tensor(2.6663),tensor(2.6702),tensor(0.2740),tensor(0.2757)
1100,tensor(2.6250),tensor(2.6573),tensor(0.2748),tensor(0.2752)
1200,tensor(2.6148),tensor(2.6192),tensor(0.2746),tensor(0.2742)
1300,tensor(2.5894),tensor(2.6203),tensor(0.2750),tensor(0.2737)
1400,tensor(2.5870),tensor(2.5917),tensor(0.2754),tensor(0.2726)
1500,tensor(2.5850),tensor(2.5847),tensor(0.2772),tensor(0.2739)
1600,tensor(2.5687),tensor(2.6335),tensor(0.2746),tensor(0.2736)
1700,tensor(2.5572),tensor(2.5732),tensor(0.2771),tensor(0.2740)
1800,tensor(2.5434),tensor(2.5661),tensor(0.2767),tensor(0.2759)
1900,tensor(2.5423),tensor(2.5912),tensor(0.2780),tensor(0.2762)
2000,tensor(2.5442),tensor(2.5653),tensor(0.2776),tensor(0.2772)
2100,tensor(2.6587),tensor(2.5220),tensor(0.2784),tensor(0.2768)
2200,tensor(2.5256),tensor(2.5678),tensor(0.2787),tensor(0.2776)
2300,tensor(2.5271),tensor(2.5103),tensor(0.2794),tensor(0.2793)
2400,tensor(2.5182),tensor(2.5100),tensor(0.2784),tensor(0.2789)
2500,tensor(2.5149),tensor(2.5230),tensor(0.2784),tensor(0.2753)
2600,tensor(2.4988),tensor(2.5144),tensor(0.2792),tensor(0.2779)
2700,tensor(2.5177),tensor(2.5228),tensor(0.2790),tensor(0.2766)
2800,tensor(2.5079),tensor(2.5195),tensor(0.2772),tensor(0.2788)
2900,tensor(2.5045),tensor(2.4996),tensor(0.2789),tensor(0.2771)
3000,tensor(2.5048),tensor(2.5029),tensor(0.2796),tensor(0.2783)
3100,tensor(2.4782),tensor(2.5030),tensor(0.2784),tensor(0.2799)
3200,tensor(2.5046),tensor(2.5243),tensor(0.2790),tensor(0.2806)
3300,tensor(2.4910),tensor(2.4883),tensor(0.2809),tensor(0.2796)
3400,tensor(2.5088),tensor(2.4897),tensor(0.2787),tensor(0.2750)
3500,tensor(2.4885),tensor(2.4981),tensor(0.2785),tensor(0.2790)
3600,tensor(2.4940),tensor(2.4781),tensor(0.2828),tensor(0.2808)
3700,tensor(2.4865),tensor(2.4927),tensor(0.2777),tensor(0.2775)
3800,tensor(2.4741),tensor(2.5021),tensor(0.2802),tensor(0.2805)
3900,tensor(2.4741),tensor(2.4960),tensor(0.2790),tensor(0.2845)
4000,tensor(2.4731),tensor(2.4870),tensor(0.2828),tensor(0.2850)
4100,tensor(2.4733),tensor(2.4826),tensor(0.2831),tensor(0.2826)
4200,tensor(2.4744),tensor(2.4732),tensor(0.2834),tensor(0.2840)
4300,tensor(2.4615),tensor(2.4609),tensor(0.2842),tensor(0.2829)
4400,tensor(2.4600),tensor(2.5504),tensor(0.2862),tensor(0.2860)
4500,tensor(2.4518),tensor(2.4578),tensor(0.2882),tensor(0.2865)
4600,tensor(2.4610),tensor(2.4580),tensor(0.2885),tensor(0.2920)
4700,tensor(2.4397),tensor(2.4492),tensor(0.2927),tensor(0.2919)
4800,tensor(2.4386),tensor(2.4345),tensor(0.2958),tensor(0.2934)
4900,tensor(2.4225),tensor(2.4203),tensor(0.2972),tensor(0.2973)
5000,tensor(2.3988),tensor(2.4141),tensor(0.3034),tensor(0.2999)
5100,tensor(2.3849),tensor(2.3852),tensor(0.3032),tensor(0.3025)
5200,tensor(2.3736),tensor(2.3800),tensor(0.3103),tensor(0.3092)
5300,tensor(2.3806),tensor(2.3731),tensor(0.3125),tensor(0.3110)
5400,tensor(2.3546),tensor(2.3549),tensor(0.3148),tensor(0.3155)
5500,tensor(2.3452),tensor(2.3601),tensor(0.3193),tensor(0.3170)
5600,tensor(2.3514),tensor(2.3593),tensor(0.3191),tensor(0.3220)
5700,tensor(2.3372),tensor(2.3380),tensor(0.3248),tensor(0.3232)
5800,tensor(2.3089),tensor(2.3682),tensor(0.3259),tensor(0.3264)
5900,tensor(2.3024),tensor(2.3033),tensor(0.3277),tensor(0.3300)
6000,tensor(2.3403),tensor(2.2936),tensor(0.3320),tensor(0.3314)
6100,tensor(2.3598),tensor(2.3017),tensor(0.3347),tensor(0.3354)
6200,tensor(2.3078),tensor(2.3017),tensor(0.3359),tensor(0.3337)
6300,tensor(2.2774),tensor(2.2914),tensor(0.3417),tensor(0.3427)
6400,tensor(2.2594),tensor(2.2860),tensor(0.3414),tensor(0.3441)
6500,tensor(2.2668),tensor(2.2726),tensor(0.3426),tensor(0.3447)
6600,tensor(2.2565),tensor(2.2614),tensor(0.3490),tensor(0.3448)
6700,tensor(2.2772),tensor(2.2558),tensor(0.3456),tensor(0.3480)
6800,tensor(2.2369),tensor(2.2338),tensor(0.3520),tensor(0.3490)
6900,tensor(2.2374),tensor(2.2354),tensor(0.3565),tensor(0.3535)
7000,tensor(2.2128),tensor(2.2373),tensor(0.3559),tensor(0.3557)
7100,tensor(2.2375),tensor(2.2126),tensor(0.3587),tensor(0.3577)
7200,tensor(2.2104),tensor(2.2126),tensor(0.3600),tensor(0.3611)
7300,tensor(2.2057),tensor(2.2108),tensor(0.3584),tensor(0.3590)
7400,tensor(2.1831),tensor(2.1961),tensor(0.3656),tensor(0.3615)
7500,tensor(2.2059),tensor(2.1880),tensor(0.3646),tensor(0.3613)
7600,tensor(2.1911),tensor(2.1979),tensor(0.3680),tensor(0.3684)
7700,tensor(2.2032),tensor(2.2075),tensor(0.3664),tensor(0.3651)
7800,tensor(2.1697),tensor(2.1683),tensor(0.3702),tensor(0.3655)
7900,tensor(2.1556),tensor(2.1710),tensor(0.3703),tensor(0.3727)
8000,tensor(2.1570),tensor(2.1756),tensor(0.3741),tensor(0.3727)
8100,tensor(2.1719),tensor(2.1454),tensor(0.3729),tensor(0.3733)
8200,tensor(2.1611),tensor(2.1573),tensor(0.3753),tensor(0.3746)
8300,tensor(2.1577),tensor(2.1606),tensor(0.3787),tensor(0.3757)
8400,tensor(2.1459),tensor(2.1413),tensor(0.3767),tensor(0.3780)
8500,tensor(2.1454),tensor(2.1355),tensor(0.3787),tensor(0.3772)
8600,tensor(2.1472),tensor(2.1438),tensor(0.3767),tensor(0.3770)
8700,tensor(2.1798),tensor(2.1244),tensor(0.3838),tensor(0.3828)
8800,tensor(2.1109),tensor(2.1041),tensor(0.3788),tensor(0.3839)
8900,tensor(2.1206),tensor(2.1156),tensor(0.3872),tensor(0.3854)
9000,tensor(2.0964),tensor(2.1147),tensor(0.3880),tensor(0.3901)
9100,tensor(2.1223),tensor(2.0997),tensor(0.3860),tensor(0.3850)
9200,tensor(2.1073),tensor(2.1064),tensor(0.3886),tensor(0.3910)
9300,tensor(2.0819),tensor(2.0990),tensor(0.3931),tensor(0.3871)
9400,tensor(2.0992),tensor(2.1050),tensor(0.3927),tensor(0.3916)
9500,tensor(2.0953),tensor(2.1080),tensor(0.3937),tensor(0.3910)
9600,tensor(2.1031),tensor(2.0903),tensor(0.3923),tensor(0.3959)
9700,tensor(2.0608),tensor(2.0724),tensor(0.3951),tensor(0.3942)
9800,tensor(2.0901),tensor(2.0795),tensor(0.3928),tensor(0.3950)
9900,tensor(2.0684),tensor(2.0622),tensor(0.4025),tensor(0.3975)
10000,tensor(2.0603),tensor(2.0583),tensor(0.4003),tensor(0.4000)
10100,tensor(2.0679),tensor(2.0370),tensor(0.4002),tensor(0.3985)
10200,tensor(2.0351),tensor(2.0654),tensor(0.3972),tensor(0.4025)
10300,tensor(2.0367),tensor(2.0463),tensor(0.3976),tensor(0.4003)
10400,tensor(2.0541),tensor(2.0290),tensor(0.4048),tensor(0.4006)
10500,tensor(2.0458),tensor(2.0351),tensor(0.4072),tensor(0.4086)
10600,tensor(2.0401),tensor(2.0230),tensor(0.4083),tensor(0.4045)
10700,tensor(2.0272),tensor(2.0341),tensor(0.4086),tensor(0.4096)
10800,tensor(2.0210),tensor(2.0326),tensor(0.4093),tensor(0.4109)
10900,tensor(2.0812),tensor(2.0265),tensor(0.4103),tensor(0.4109)
11000,tensor(2.0140),tensor(2.0321),tensor(0.4106),tensor(0.4140)
11100,tensor(2.0075),tensor(2.0141),tensor(0.4115),tensor(0.4126)
11200,tensor(1.9993),tensor(2.0101),tensor(0.4108),tensor(0.4140)
11300,tensor(2.0137),tensor(2.0235),tensor(0.4178),tensor(0.4132)
11400,tensor(2.0240),tensor(2.0034),tensor(0.4129),tensor(0.4135)
11500,tensor(1.9936),tensor(1.9985),tensor(0.4157),tensor(0.4160)
11600,tensor(1.9873),tensor(2.0055),tensor(0.4154),tensor(0.4183)
11700,tensor(1.9885),tensor(1.9899),tensor(0.4189),tensor(0.4157)
11800,tensor(1.9871),tensor(1.9637),tensor(0.4156),tensor(0.4171)
11900,tensor(1.9834),tensor(1.9759),tensor(0.4198),tensor(0.4158)
12000,tensor(1.9827),tensor(1.9828),tensor(0.4207),tensor(0.4210)
12100,tensor(1.9798),tensor(1.9872),tensor(0.4208),tensor(0.4243)
12200,tensor(1.9688),tensor(1.9848),tensor(0.4225),tensor(0.4254)
12300,tensor(1.9600),tensor(1.9879),tensor(0.4255),tensor(0.4221)
12400,tensor(1.9471),tensor(1.9811),tensor(0.4243),tensor(0.4230)
12500,tensor(1.9549),tensor(1.9473),tensor(0.4297),tensor(0.4231)
12600,tensor(1.9601),tensor(1.9655),tensor(0.4264),tensor(0.4259)
12700,tensor(1.9822),tensor(1.9398),tensor(0.4299),tensor(0.4295)
12800,tensor(1.9579),tensor(1.9892),tensor(0.4236),tensor(0.4234)
12900,tensor(1.9317),tensor(1.9561),tensor(0.4318),tensor(0.4296)
13000,tensor(1.9503),tensor(1.9360),tensor(0.4317),tensor(0.4296)
13100,tensor(1.9270),tensor(1.9285),tensor(0.4361),tensor(0.4296)
13200,tensor(1.9398),tensor(1.9331),tensor(0.4307),tensor(0.4337)
13300,tensor(1.9265),tensor(1.9234),tensor(0.4355),tensor(0.4332)
13400,tensor(1.9444),tensor(1.9267),tensor(0.4346),tensor(0.4369)
13500,tensor(1.9382),tensor(1.9474),tensor(0.4338),tensor(0.4363)
13600,tensor(1.9304),tensor(1.9162),tensor(0.4369),tensor(0.4369)
13700,tensor(1.9095),tensor(1.9162),tensor(0.4332),tensor(0.4383)
13800,tensor(1.9122),tensor(1.9307),tensor(0.4383),tensor(0.4390)
13900,tensor(1.9156),tensor(1.9175),tensor(0.4397),tensor(0.4428)
14000,tensor(1.9043),tensor(1.9076),tensor(0.4394),tensor(0.4352)
14100,tensor(1.9070),tensor(1.9066),tensor(0.4410),tensor(0.4395)
14200,tensor(1.9029),tensor(1.9047),tensor(0.4405),tensor(0.4422)
14300,tensor(1.9097),tensor(1.8918),tensor(0.4411),tensor(0.4385)
14400,tensor(1.8903),tensor(1.9133),tensor(0.4375),tensor(0.4452)
14500,tensor(1.9068),tensor(1.8730),tensor(0.4437),tensor(0.4416)
14600,tensor(1.8806),tensor(1.8920),tensor(0.4461),tensor(0.4471)
14700,tensor(1.8719),tensor(1.8713),tensor(0.4433),tensor(0.4453)
14800,tensor(1.8783),tensor(1.8880),tensor(0.4428),tensor(0.4462)
14900,tensor(1.8735),tensor(1.8637),tensor(0.4444),tensor(0.4473)
15000,tensor(1.8984),tensor(1.8876),tensor(0.4487),tensor(0.4445)
15100,tensor(1.8708),tensor(1.8779),tensor(0.4517),tensor(0.4487)
15200,tensor(1.8796),tensor(1.8729),tensor(0.4481),tensor(0.4468)
15300,tensor(1.8759),tensor(1.9235),tensor(0.4512),tensor(0.4524)
15400,tensor(1.9049),tensor(1.8852),tensor(0.4450),tensor(0.4473)
15500,tensor(1.8714),tensor(1.8829),tensor(0.4482),tensor(0.4517)
15600,tensor(1.8877),tensor(1.8675),tensor(0.4528),tensor(0.4501)
15700,tensor(1.8495),tensor(1.8572),tensor(0.4518),tensor(0.4518)
15800,tensor(1.8490),tensor(1.8433),tensor(0.4500),tensor(0.4495)
15900,tensor(1.8526),tensor(1.8425),tensor(0.4543),tensor(0.4576)
16000,tensor(1.8616),tensor(1.8573),tensor(0.4537),tensor(0.4543)
16100,tensor(1.8573),tensor(1.8719),tensor(0.4552),tensor(0.4560)
16200,tensor(1.8566),tensor(1.8512),tensor(0.4503),tensor(0.4552)
16300,tensor(1.8417),tensor(1.8355),tensor(0.4573),tensor(0.4598)
16400,tensor(1.8841),tensor(1.8514),tensor(0.4533),tensor(0.4612)
16500,tensor(1.8579),tensor(1.8766),tensor(0.4547),tensor(0.4555)
16600,tensor(1.8500),tensor(1.8501),tensor(0.4601),tensor(0.4519)
16700,tensor(1.8269),tensor(1.8677),tensor(0.4599),tensor(0.4608)
16800,tensor(1.8184),tensor(1.8367),tensor(0.4642),tensor(0.4611)
16900,tensor(1.8327),tensor(1.8487),tensor(0.4617),tensor(0.4619)
17000,tensor(1.8126),tensor(1.8143),tensor(0.4581),tensor(0.4645)
17100,tensor(1.8179),tensor(1.8536),tensor(0.4630),tensor(0.4636)
17200,tensor(1.8049),tensor(1.8569),tensor(0.4639),tensor(0.4661)
17300,tensor(1.8393),tensor(1.8053),tensor(0.4625),tensor(0.4632)
17400,tensor(1.8427),tensor(1.8203),tensor(0.4634),tensor(0.4649)
17500,tensor(1.8123),tensor(1.8096),tensor(0.4641),tensor(0.4630)
17600,tensor(1.8751),tensor(1.8377),tensor(0.4700),tensor(0.4671)
17700,tensor(1.8223),tensor(1.8291),tensor(0.4606),tensor(0.4682)
17800,tensor(1.8104),tensor(1.8086),tensor(0.4644),tensor(0.4673)
17900,tensor(1.8043),tensor(1.7996),tensor(0.4678),tensor(0.4646)
18000,tensor(1.8161),tensor(1.8103),tensor(0.4694),tensor(0.4678)
18100,tensor(1.7974),tensor(1.8028),tensor(0.4671),tensor(0.4733)
18200,tensor(1.8042),tensor(1.8210),tensor(0.4681),tensor(0.4663)
