iteration,train_loss,val_loss,train_acc,val_acc
0,tensor(8.5857),tensor(8.5840),tensor(0.0001),tensor(9.8877e-05)
100,tensor(5.2645),tensor(5.2625),tensor(0.1909),tensor(0.1886)
200,tensor(3.9756),tensor(3.9805),tensor(0.2451),tensor(0.2460)
300,tensor(3.2885),tensor(3.2952),tensor(0.2649),tensor(0.2655)
400,tensor(2.9840),tensor(2.9853),tensor(0.2746),tensor(0.2784)
500,tensor(2.8283),tensor(2.8398),tensor(0.2767),tensor(0.2799)
600,tensor(2.7431),tensor(2.7422),tensor(0.2834),tensor(0.2815)
700,tensor(2.6782),tensor(2.6908),tensor(0.2823),tensor(0.2845)
800,tensor(2.6310),tensor(2.6322),tensor(0.2863),tensor(0.2881)
900,tensor(2.6022),tensor(2.5859),tensor(0.2871),tensor(0.2873)
1000,tensor(2.5794),tensor(2.5766),tensor(0.2858),tensor(0.2891)
1100,tensor(2.5636),tensor(2.5580),tensor(0.2857),tensor(0.2881)
1200,tensor(2.5482),tensor(2.5454),tensor(0.2868),tensor(0.2892)
1300,tensor(2.5315),tensor(2.5295),tensor(0.2862),tensor(0.2891)
1400,tensor(2.5156),tensor(2.5138),tensor(0.2862),tensor(0.2886)
1500,tensor(2.5153),tensor(2.4992),tensor(0.2872),tensor(0.2882)
1600,tensor(2.5060),tensor(2.5073),tensor(0.2896),tensor(0.2906)
1700,tensor(2.4988),tensor(2.4996),tensor(0.2886),tensor(0.2902)
1800,tensor(2.4983),tensor(2.4932),tensor(0.2891),tensor(0.2889)
1900,tensor(2.4862),tensor(2.4869),tensor(0.2867),tensor(0.2887)
2000,tensor(2.4795),tensor(2.4852),tensor(0.2889),tensor(0.2913)
2100,tensor(2.4825),tensor(2.4789),tensor(0.2879),tensor(0.2883)
2200,tensor(2.4806),tensor(2.4842),tensor(0.2860),tensor(0.2890)
2300,tensor(2.4707),tensor(2.4729),tensor(0.2894),tensor(0.2900)
2400,tensor(2.4767),tensor(2.4749),tensor(0.2867),tensor(0.2876)
2500,tensor(2.4671),tensor(2.4691),tensor(0.2888),tensor(0.2919)
2600,tensor(2.4654),tensor(2.4678),tensor(0.2897),tensor(0.2901)
2700,tensor(2.4593),tensor(2.4618),tensor(0.2881),tensor(0.2923)
2800,tensor(2.4566),tensor(2.4585),tensor(0.2885),tensor(0.2899)
2900,tensor(2.4637),tensor(2.4560),tensor(0.2907),tensor(0.2889)
3000,tensor(2.4560),tensor(2.4541),tensor(0.2896),tensor(0.2926)
3100,tensor(2.4555),tensor(2.4500),tensor(0.2903),tensor(0.2923)
3200,tensor(2.4488),tensor(2.4503),tensor(0.2908),tensor(0.2944)
3300,tensor(2.4488),tensor(2.4491),tensor(0.2929),tensor(0.2945)
3400,tensor(2.4467),tensor(2.4412),tensor(0.2920),tensor(0.2930)
3500,tensor(2.4401),tensor(2.4398),tensor(0.2935),tensor(0.2934)
3600,tensor(2.4366),tensor(2.4441),tensor(0.2916),tensor(0.2945)
3700,tensor(2.4358),tensor(2.4295),tensor(0.2947),tensor(0.2969)
3800,tensor(2.4257),tensor(2.4240),tensor(0.2980),tensor(0.2982)
3900,tensor(2.4170),tensor(2.4162),tensor(0.2985),tensor(0.3004)
4000,tensor(2.4064),tensor(2.4112),tensor(0.2982),tensor(0.2994)
4100,tensor(2.4055),tensor(2.3949),tensor(0.3009),tensor(0.3042)
4200,tensor(2.3857),tensor(2.3792),tensor(0.3069),tensor(0.3079)
4300,tensor(2.3712),tensor(2.3686),tensor(0.3121),tensor(0.3128)
4400,tensor(2.3644),tensor(2.3694),tensor(0.3129),tensor(0.3154)
4500,tensor(2.3481),tensor(2.3551),tensor(0.3177),tensor(0.3202)
4600,tensor(2.3426),tensor(2.3382),tensor(0.3199),tensor(0.3237)
4700,tensor(2.3252),tensor(2.3271),tensor(0.3233),tensor(0.3260)
4800,tensor(2.3222),tensor(2.3188),tensor(0.3258),tensor(0.3286)
4900,tensor(2.3106),tensor(2.3187),tensor(0.3315),tensor(0.3319)
5000,tensor(2.2972),tensor(2.3002),tensor(0.3320),tensor(0.3340)
5100,tensor(2.2903),tensor(2.2866),tensor(0.3343),tensor(0.3385)
5200,tensor(2.2881),tensor(2.2798),tensor(0.3377),tensor(0.3377)
5300,tensor(2.2779),tensor(2.2713),tensor(0.3422),tensor(0.3453)
5400,tensor(2.2628),tensor(2.2544),tensor(0.3432),tensor(0.3456)
5500,tensor(2.2521),tensor(2.2456),tensor(0.3471),tensor(0.3487)
5600,tensor(2.2489),tensor(2.2418),tensor(0.3497),tensor(0.3517)
5700,tensor(2.2381),tensor(2.2285),tensor(0.3515),tensor(0.3533)
5800,tensor(2.2280),tensor(2.2240),tensor(0.3547),tensor(0.3583)
5900,tensor(2.2138),tensor(2.2075),tensor(0.3603),tensor(0.3618)
6000,tensor(2.2083),tensor(2.2106),tensor(0.3571),tensor(0.3595)
6100,tensor(2.1960),tensor(2.1838),tensor(0.3658),tensor(0.3651)
6200,tensor(2.1933),tensor(2.1907),tensor(0.3653),tensor(0.3663)
6300,tensor(2.1890),tensor(2.1857),tensor(0.3677),tensor(0.3660)
6400,tensor(2.1784),tensor(2.1771),tensor(0.3669),tensor(0.3699)
6500,tensor(2.1773),tensor(2.1711),tensor(0.3707),tensor(0.3712)
6600,tensor(2.1697),tensor(2.1515),tensor(0.3709),tensor(0.3748)
6700,tensor(2.1552),tensor(2.1446),tensor(0.3760),tensor(0.3778)
6800,tensor(2.1595),tensor(2.1549),tensor(0.3725),tensor(0.3767)
6900,tensor(2.1465),tensor(2.1333),tensor(0.3761),tensor(0.3813)
7000,tensor(2.1306),tensor(2.1263),tensor(0.3801),tensor(0.3824)
7100,tensor(2.1298),tensor(2.1189),tensor(0.3806),tensor(0.3818)
7200,tensor(2.1210),tensor(2.1124),tensor(0.3850),tensor(0.3858)
7300,tensor(2.1174),tensor(2.1091),tensor(0.3848),tensor(0.3868)
7400,tensor(2.1177),tensor(2.1110),tensor(0.3837),tensor(0.3848)
7500,tensor(2.1032),tensor(2.0922),tensor(0.3894),tensor(0.3917)
7600,tensor(2.0940),tensor(2.0855),tensor(0.3902),tensor(0.3909)
7700,tensor(2.0994),tensor(2.0858),tensor(0.3903),tensor(0.3945)
7800,tensor(2.0806),tensor(2.0763),tensor(0.3898),tensor(0.3935)
7900,tensor(2.0865),tensor(2.0698),tensor(0.3930),tensor(0.3969)
8000,tensor(2.0786),tensor(2.0726),tensor(0.3957),tensor(0.3988)
8100,tensor(2.0712),tensor(2.0644),tensor(0.3972),tensor(0.3993)
8200,tensor(2.0742),tensor(2.0627),tensor(0.3963),tensor(0.4001)
8300,tensor(2.0628),tensor(2.0608),tensor(0.3982),tensor(0.4036)
8400,tensor(2.0609),tensor(2.0475),tensor(0.4004),tensor(0.4033)
8500,tensor(2.0585),tensor(2.0580),tensor(0.4016),tensor(0.4034)
8600,tensor(2.0464),tensor(2.0375),tensor(0.4033),tensor(0.4064)
8700,tensor(2.0395),tensor(2.0298),tensor(0.4067),tensor(0.4059)
